wave_peak	wave_base	wave_top	note
585.36663	585.3166	585.4166	Ba 2
585.3666599999999	585.3167	585.4167	Ba 2
585.3668	585.3168	585.4168	Ba 2
585.36686	585.3169	585.4169	Ba 2
585.36695	585.317	585.4169	Ba 2
585.3675599999999	585.3176	585.4176	Ba 2
614.17096	614.121	614.221	Ba 2
614.1713	614.1213	614.2213	Ba 2
614.17137	614.1214	614.2214	Ba 2
614.17146	614.1215	614.2215	Ba 2
614.17157	614.1216	614.2216	Ba 2
614.17183	614.1218	614.2218	Ba 2
649.68848	649.6385	649.7385	Ba 2
649.6885599999999	649.6386	649.7386	Ba 2
649.6897	649.6397	649.7397	Ba 2
649.68976	649.6398	649.7398	Ba 2
649.68984	649.6398	649.7398	Ba 2
649.6899900000001	649.64	649.74	Ba 2
649.6900899999999	649.6401	649.7401	Ba 2
