wave_peak	wave_base	wave_top	note
500.14790000000005	500.0979	500.1979	Ca 2
526.0387	525.9887	526.0887	Ca 1
526.1704	526.1204	526.2204	Ca 1
534.9465	534.8965	534.9965	Ca 1
551.298	551.248	551.348	Ca 1
558.1965	558.1465	558.2465	Ca 1
558.8749	558.8249	558.9249	Ca 1
559.0114	558.9614	559.0614	Ca 1
585.7451	585.6951	585.7951	Ca 1
586.7562	586.7062	586.8062	Ca 1
610.2723	610.2223	610.3223	Ca 1
612.2216999999999	612.1717	612.2717	Ca 1
615.60231	615.5523	615.6523	Ca 1
616.2173	616.1673	616.2673	Ca 1
616.6439	616.5939	616.6939	Ca 1
616.9042000000001	616.8542	616.9542	Ca 1
616.9563	616.9063	617.0063	Ca 1
643.9075	643.8575	643.9575	Ca 1
645.5598	645.5098	645.6098	Ca 1
645.6875	645.6375	645.7375	Ca 2
647.1662	647.1162	647.2162	Ca 1
649.3781	649.3281	649.4281	Ca 1
649.9649999999999	649.915	650.015	Ca 1
849.8023	849.7523	849.8523	Ca 2
854.2091	854.1591	854.2591	Ca 2
866.2140999999999	866.1641	866.2641	Ca 2
891.2067999999999	891.1568	891.2568	Ca 2
892.7356	892.6856	892.7856	Ca 2
