wave_peak	wave_base	wave_top	note
517.59856	517.5486	517.6486	Co 1
517.60099	517.551	517.651	Co 1
517.60259	517.5526	517.6526	Co 1
517.60379	517.5538	517.6538	Co 1
517.60577	517.5558	517.6558	Co 1
517.60742	517.5574	517.6574	Co 1
517.60977	517.5598	517.6598	Co 1
517.61197	517.562	517.662	Co 1
517.61464	517.5646	517.6646	Co 1
517.61727	517.5673	517.6673	Co 1
521.2590600000001	521.2091	521.3091	Co 1
521.26175	521.2118	521.3118	Co 1
521.26453	521.2145	521.3145	Co 1
521.26661	521.2166	521.3166	Co 1
521.26846	521.2185	521.3185	Co 1
521.2700600000001	521.2201	521.3201	Co 1
521.2716	521.2216	521.3216	Co 1
521.27355	521.2236	521.3236	Co 1
521.27502	521.225	521.325	Co 1
528.05321	528.0032	528.1032	Co 1
528.0562299999999	528.0062	528.1062	Co 1
528.05849	528.0085	528.1085	Co 1
528.0604099999999	528.0104	528.1104	Co 1
528.06209	528.0121	528.1121	Co 1
528.0635100000001	528.0135	528.1135	Co 1
528.06457	528.0146	528.1146	Co 1
528.06564	528.0156	528.1156	Co 1
530.1007400000001	530.0507	530.1507	Co 1
530.10219	530.0522	530.1522	Co 1
530.10378	530.0538	530.1538	Co 1
530.10517	530.0552	530.1552	Co 1
530.10697	530.057	530.157	Co 1
533.14121	533.0912	533.1912	Co 1
533.14401	533.094	533.194	Co 1
533.14658	533.0966	533.1966	Co 1
533.1489300000001	533.0989	533.1989	Co 1
533.1506099999999	533.1006	533.2006	Co 1
535.18931	535.1393	535.2393	Co 1
535.19244	535.1424	535.2424	Co 1
535.19526	535.1453	535.2453	Co 1
535.1976999999999	535.1477	535.2477	Co 1
535.19985	535.1498	535.2498	Co 1
535.20191	535.1519	535.2519	Co 1
535.20321	535.1532	535.2532	Co 1
535.20509	535.1551	535.2551	Co 1
535.20696	535.157	535.257	Co 1
536.95661	536.9066	537.0066	Co 1
536.95768	536.9077	537.0077	Co 1
536.95967	536.9097	537.0097	Co 1
536.96172	536.9117	537.0117	Co 1
548.33101	548.281	548.381	Co 1
548.33331	548.2833	548.3833	Co 1
548.3351399999999	548.2851	548.3851	Co 1
548.33678	548.2868	548.3868	Co 1
548.3381400000001	548.2881	548.3881	Co 1
548.33941	548.2894	548.3894	Co 1
548.3407500000001	548.2908	548.3908	Co 1
548.38759	548.3376	548.4376	Co 1
548.39096	548.341	548.441	Co 1
548.39401	548.344	548.444	Co 1
548.39666	548.3467	548.4467	Co 1
548.39898	548.349	548.449	Co 1
548.40098	548.351	548.451	Co 1
548.40264	548.3526	548.4526	Co 1
548.40427	548.3543	548.4543	Co 1
548.40651	548.3565	548.4565	Co 1
553.07348	553.0235	553.1235	Co 1
553.07561	553.0256	553.1256	Co 1
553.07732	553.0273	553.1273	Co 1
553.07883	553.0288	553.1288	Co 1
553.0801	553.0301	553.1301	Co 1
553.08129	553.0313	553.1313	Co 1
553.08255	553.0326	553.1325	Co 1
559.06624	559.0162	559.1162	Co 1
559.07344	559.0234	559.1234	Co 1
559.0792	559.0292	559.1292	Co 1
559.08353	559.0335	559.1335	Co 1
564.7207099999999	564.6707	564.7707	Co 1
564.7219699999999	564.672	564.772	Co 1
564.7231899999999	564.6732	564.7732	Co 1
564.7243000000001	564.6743	564.7743	Co 1
564.72566	564.6757	564.7757	Co 1
564.72686	564.6769	564.7769	Co 1
591.54961	591.4996	591.5996	Co 1
591.55062	591.5006	591.6006	Co 1
591.55206	591.5021	591.6021	Co 1
591.5543399999999	591.5043	591.6043	Co 1
591.55539	591.5054	591.6054	Co 1
591.5564099999999	591.5064	591.6064	Co 1
591.5577900000001	591.5078	591.6078	Co 1
591.55922	591.5092	591.6092	Co 1
591.56075	591.5108	591.6107	Co 1
591.56241	591.5124	591.6124	Co 1
600.49771	600.4477	600.5477	Co 1
600.49878	600.4488	600.5488	Co 1
600.50005	600.45	600.55	Co 1
600.50148	600.4515	600.5515	Co 1
600.50371	600.4537	600.5537	Co 1
600.50589	600.4559	600.5559	Co 1
600.50703	600.457	600.557	Co 1
609.3095099999999	609.2595	609.3595	Co 1
609.31205	609.262	609.362	Co 1
609.31453	609.2645	609.3645	Co 1
609.31597	609.266	609.366	Co 1
609.31737	609.2674	609.3674	Co 1
609.31844	609.2684	609.3684	Co 1
611.69567	611.6457	611.7457	Co 1
611.6994	611.6494	611.7494	Co 1
611.70332	611.6533	611.7533	Co 1
618.89248	618.8425	618.9425	Co 1
618.89383	618.8438	618.9438	Co 1
618.8966800000001	618.8467	618.9467	Co 1
618.89781	618.8478	618.9478	Co 1
618.89916	618.8492	618.9492	Co 1
618.90047	618.8505	618.9505	Co 1
618.9028599999999	618.8529	618.9529	Co 1
618.9050599999999	618.8551	618.9551	Co 1
618.90698	618.857	618.957	Co 1
642.97617	642.9262	643.0262	Co 1
642.9790399999999	642.929	643.029	Co 1
642.98162	642.9316	643.0316	Co 1
642.98403	642.934	643.034	Co 1
642.98607	642.9361	643.0361	Co 1
642.98771	642.9377	643.0377	Co 1
642.98882	642.9388	643.0388	Co 1
642.99138	642.9414	643.0414	Co 1
645.49379	645.4438	645.5438	Co 1
645.49495	645.445	645.545	Co 1
645.49671	645.4467	645.5467	Co 1
645.49866	645.4487	645.5487	Co 1
645.50108	645.4511	645.5511	Co 1
645.50398	645.454	645.554	Co 1
645.50788	645.4579	645.5579	Co 1
645.51182	645.4618	645.5618	Co 1
663.24064	663.1906	663.2906	Co 1
663.24212	663.1921	663.2921	Co 1
663.24359	663.1936	663.2936	Co 1
663.24505	663.195	663.295	Co 1
663.24672	663.1967	663.2967	Co 1
663.2483100000001	663.1983	663.2983	Co 1
677.09416	677.0442	677.1442	Co 1
677.0951	677.0451	677.1451	Co 1
677.09637	677.0464	677.1464	Co 1
677.09745	677.0474	677.1474	Co 1
677.09931	677.0493	677.1493	Co 1
677.10234	677.0523	677.1523	Co 1
677.10578	677.0558	677.1558	Co 1
677.10917	677.0592	677.1592	Co 1
677.11049	677.0605	677.1605	Co 1
677.11558	677.0656	677.1656	Co 1
681.48882	681.4388	681.5388	Co 1
681.49181	681.4418	681.5418	Co 1
681.49381	681.4438	681.5438	Co 1
681.4972700000001	681.4473	681.5473	Co 1
681.4988999999999	681.4489	681.5489	Co 1
