wave_peak	wave_base	wave_top	note
478.9335	478.8835	478.9835	Cr 1
493.6335	493.5835	493.6835	Cr 1
495.3717	495.3217	495.4217	Cr 1
496.49269999999996	496.4427	496.5427	Cr 1
520.0172	519.9672	520.0672	Cr 1
520.6023	520.5523	520.6523	Cr 1
523.8961	523.8461	523.9461	Cr 1
524.1458	524.0958	524.1958	Cr 1
524.6768	524.6268	524.7268	Cr 2
524.7565	524.7065	524.8065	Cr 1
527.2	527.15	527.25	Cr 1
528.7178	528.6678	528.7678	Cr 1
529.6691	529.6191	529.7191	Cr 1
530.0745	530.0245	530.1245	Cr 1
530.418	530.368	530.468	Cr 1
531.2855999999999	531.2356	531.3356	Cr 1
531.8770999999999	531.8271	531.9271	Cr 1
534.5796	534.5296	534.6296	Cr 1
534.8314	534.7814	534.8814	Cr 1
540.9784	540.9284	541.0284	Cr 1
562.8642	562.8142	562.9142	Cr 1
571.9815	571.9315	572.0315	Cr 1
578.8381	578.7881	578.8881	Cr 1
583.8669	583.8169	583.9169	Cr 1
584.4595	584.4095	584.5095	Cr 1
