wave_peak	wave_base	wave_top	note
510.5496	510.4996	510.5996	Cu 1
510.55057	510.5006	510.6006	Cu 1
510.55192	510.5019	510.6019	Cu 1
510.55213000000003	510.5021	510.6021	Cu 1
510.55406999999997	510.5041	510.6041	Cu 1
510.55460999999997	510.5046	510.6046	Cu 1
510.55640999999997	510.5064	510.6064	Cu 1
521.8192200000001	521.7692	521.8692	Cu 1
521.8192200000001	521.7692	521.8692	Cu 1
521.8200899999999	521.7701	521.8701	Cu 1
521.82015	521.7702	521.8702	Cu 1
522.00612	521.9561	522.0561	Cu 1
522.00612	521.9561	522.0561	Cu 1
522.0069900000001	521.957	522.057	Cu 1
522.0070499999999	521.957	522.057	Cu 1
570.01475	569.9648	570.0648	Cu 1
570.01676	569.9668	570.0668	Cu 1
570.01769	569.9677	570.0677	Cu 1
570.01955	569.9696	570.0695	Cu 1
570.0198	569.9698	570.0698	Cu 1
570.02075	569.9708	570.0708	Cu 1
570.0223699999999	569.9724	570.0724	Cu 1
570.02326	569.9733	570.0733	Cu 1
570.02674	569.9767	570.0767	Cu 1
570.0288800000001	569.9789	570.0789	Cu 1
578.20385	578.1538	578.2538	Cu 1
578.2057	578.1557	578.2557	Cu 1
578.2068	578.1568	578.2568	Cu 1
578.20852	578.1585	578.2585	Cu 1
578.20877	578.1588	578.2588	Cu 1
578.20998	578.16	578.26	Cu 1
578.21137	578.1614	578.2614	Cu 1
578.2125	578.1625	578.2625	Cu 1
578.2155399999999	578.1655	578.2655	Cu 1
578.2177399999999	578.1677	578.2677	Cu 1
