wave_peak	wave_base	wave_top	note
581.8711900000001	581.8212	581.9212	Eu 2
581.8714	581.8214	581.9214	Eu 2
581.87274	581.8227	581.9227	Eu 2
581.87319	581.8232	581.9232	Eu 2
581.8737699999999	581.8238	581.9238	Eu 2
581.87495	581.825	581.925	Eu 2
581.87518	581.8252	581.9252	Eu 2
581.8774900000001	581.8275	581.9275	Eu 2
604.94891	604.8989	604.9989	Eu 2
604.94901	604.899	604.999	Eu 2
604.95016	604.9002	605.0002	Eu 2
604.95017	604.9002	605.0002	Eu 2
604.95127	604.9013	605.0013	Eu 2
604.95239	604.9024	605.0024	Eu 2
604.9534	604.9034	605.0034	Eu 2
617.3006	617.2506	617.3506	Eu 2
617.30134	617.2513	617.3513	Eu 2
617.30174	617.2517	617.3517	Eu 2
617.30255	617.2526	617.3525	Eu 2
617.30376	617.2538	617.3538	Eu 2
617.3049100000001	617.2549	617.3549	Eu 2
664.50572	664.4557	664.5557	Eu 2
664.50598	664.456	664.556	Eu 2
664.50677	664.4568	664.5568	Eu 2
664.5074400000001	664.4574	664.5574	Eu 2
664.5083	664.4583	664.5583	Eu 2
664.5085799999999	664.4586	664.5586	Eu 2
664.50978	664.4598	664.5598	Eu 2
664.51006	664.4601	664.5601	Eu 2
664.51205	664.4621	664.562	Eu 2
664.51366	664.4637	664.5637	Eu 2
664.5149	664.4649	664.5649	Eu 2
