wave_peak	wave_base	wave_top	note
477.94390999999996	477.8939	477.9939	Fe 1
478.78266	478.7327	478.8327	Fe 1
478.87566	478.8257	478.9257	Fe 1
478.96508000000006	478.9151	479.0151	Fe 1
479.39614	479.3461	479.4461	Fe 1
479.43540999999993	479.3854	479.4854	Fe 1
479.9406	479.8906	479.9906	Fe 1
480.28797000000003	480.238	480.338	Fe 1
480.81478	480.7648	480.8648	Fe 1
486.94633999999996	486.8963	486.9963	Fe 1
487.37510000000003	487.3251	487.4251	Fe 1
487.58770000000004	487.5377	487.6377	Fe 1
487.76044	487.7104	487.8104	Fe 1
488.21431	488.1643	488.2643	Fe 1
488.54303	488.493	488.593	Fe 1
489.14921000000004	489.0992	489.1992	Fe 1
490.33099000000004	490.281	490.381	Fe 1
490.77317000000005	490.7232	490.8232	Fe 1
491.72299000000004	491.673	491.773	Fe 1
491.80125	491.7512	491.8512	Fe 1
492.05023	492.0002	492.1002	Fe 1
492.39212	492.3421	492.4421	Fe 2
492.47695000000004	492.427	492.527	Fe 1
493.88138	493.8314	493.9314	Fe 1
493.96866	493.9187	494.0187	Fe 1
494.63873	494.5887	494.6887	Fe 1
495.01054999999997	494.9606	495.0606	Fe 1
496.25716	496.2072	496.3072	Fe 1
496.99173	496.9417	497.0417	Fe 1
498.52528	498.4753	498.5753	Fe 1
498.55467	498.5047	498.6047	Fe 1
498.62226	498.5723	498.6723	Fe 1
499.27853999999996	499.2285	499.3285	Fe 1
499.33502	499.285	499.385	Fe 2
499.41295	499.363	499.463	Fe 1
499.91124	499.8612	499.9612	Fe 1
500.18633	500.1363	500.2363	Fe 1
501.26947	501.2195	501.3195	Fe 1
501.49424	501.4442	501.5442	Fe 1
502.31858	502.2686	502.3686	Fe 1
502.34975000000003	502.2998	502.3998	Fe 1
504.42107999999996	504.3711	504.4711	Fe 1
504.98197	504.932	505.032	Fe 1
505.46425	505.4142	505.5142	Fe 1
505.68412	505.6341	505.7341	Fe 1
506.00784000000004	505.9578	506.0578	Fe 1
506.71495000000004	506.665	506.765	Fe 1
506.87657	506.8266	506.9266	Fe 1
507.92227	507.8723	507.9723	Fe 1
507.97397	507.924	508.024	Fe 1
508.33382	508.2838	508.3838	Fe 1
508.81531000000007	508.7653	508.8653	Fe 1
509.07731	509.0273	509.1273	Fe 1
510.44375	510.3938	510.4938	Fe 1
510.74474	510.6947	510.7947	Fe 1
510.76407	510.7141	510.8141	Fe 1
510.96519	510.9152	511.0152	Fe 1
512.73592	512.6859	512.7859	Fe 1
512.96308	512.9131	513.0131	Fe 1
513.26613	513.2161	513.3161	Fe 2
513.3688199999999	513.3188	513.4188	Fe 1
514.17389	514.1239	514.2239	Fe 1
515.90576	515.8558	515.9558	Fe 1
516.90282	516.8528	516.9528	Fe 2
519.49414	519.4441	519.5441	Fe 1
519.75675	519.7068	519.8068	Fe 2
519.79358	519.7436	519.8436	Fe 1
519.87108	519.8211	519.9211	Fe 1
521.51803	521.468	521.568	Fe 1
521.62739	521.5774	521.6774	Fe 1
521.73893	521.6889	521.7889	Fe 1
522.31827	522.2683	522.3683	Fe 1
522.55261	522.5026	522.6026	Fe 1
522.83759	522.7876	522.8876	Fe 1
523.294	523.244	523.344	Fe 1
523.46226	523.4123	523.5123	Fe 2
523.62022	523.5702	523.6702	Fe 1
524.2490700000001	524.1991	524.2991	Fe 1
524.3776300000001	524.3276	524.4276	Fe 1
524.70501	524.655	524.755	Fe 1
525.02089	524.9709	525.0709	Fe 1
525.06456	525.0146	525.1146	Fe 1
525.30211	525.2521	525.3521	Fe 1
525.34617	525.2962	525.3962	Fe 1
525.69319	525.6432	525.7432	Fe 2
526.28809	526.2381	526.3381	Fe 1
526.33062	526.2806	526.3806	Fe 1
526.48024	526.4302	526.5302	Fe 2
526.9537	526.9037	527.0037	Fe 1
527.3163499999999	527.2664	527.3663	Fe 1
527.9649999999999	527.915	528.015	Fe 1
528.4103	528.3603	528.4603	Fe 2
528.51274	528.4627	528.5627	Fe 1
528.85247	528.8025	528.9025	Fe 1
529.39588	529.3459	529.4459	Fe 1
529.45473	529.4047	529.5047	Fe 1
529.53121	529.4812	529.5812	Fe 1
530.0403	529.9903	530.0903	Fe 1
530.2300299999999	530.18	530.28	Fe 1
531.6608699999999	531.6109	531.7109	Fe 2
531.67812	531.6281	531.7281	Fe 2
532.00356	531.9536	532.0536	Fe 1
532.11079	532.0608	532.1608	Fe 1
532.20407	532.1541	532.2541	Fe 1
532.41787	532.3679	532.4679	Fe 1
532.55523	532.5052	532.6052	Fe 2
533.99293	533.9429	534.0429	Fe 1
536.48709	536.4371	536.5371	Fe 1
536.53987	536.4899	536.5899	Fe 1
536.74659	536.6966	536.7966	Fe 1
536.99612	536.9461	537.0461	Fe 1
537.37086	537.3209	537.4209	Fe 1
537.68305	537.633	537.733	Fe 1
537.95736	537.9074	538.0074	Fe 1
538.3368499999999	538.2868	538.3868	Fe 1
538.55753	538.5075	538.6075	Fe 1
538.6333099999999	538.5833	538.6833	Fe 1
538.9478799999999	538.8979	538.9979	Fe 1
539.31672	539.2667	539.3667	Fe 1
539.52174	539.4717	539.5717	Fe 1
539.71279	539.6628	539.7628	Fe 1
539.82791	539.7779	539.8779	Fe 1
540.1266499999999	540.0766	540.1766	Fe 1
540.57746	540.5275	540.6275	Fe 1
540.67747	540.6275	540.7275	Fe 1
540.91332	540.8633	540.9633	Fe 1
541.09097	541.041	541.141	Fe 1
541.40698	541.357	541.457	Fe 2
541.51989	541.4699	541.5699	Fe 1
541.70332	541.6533	541.7533	Fe 1
542.1850000000001	542.135	542.235	Fe 1
542.40678	542.3568	542.4568	Fe 1
542.52485	542.4749	542.5748	Fe 2
542.7815800000001	542.7316	542.8316	Fe 2
542.95035	542.9004	543.0003	Fe 1
542.96964	542.9196	543.0196	Fe 1
543.29479	543.2448	543.3448	Fe 1
543.45235	543.4024	543.5024	Fe 1
543.62951	543.5795	543.6795	Fe 1
543.65878	543.6088	543.7088	Fe 1
544.13387	544.0839	544.1839	Fe 1
544.5042000000001	544.4542	544.5542	Fe 1
545.5454	545.4954	545.5954	Fe 1
545.5609099999999	545.5109	545.6109	Fe 1
546.15495	546.105	546.2049	Fe 1
546.32755	546.2776	546.3775	Fe 1
546.42796	546.378	546.478	Fe 1
546.63958	546.5896	546.6896	Fe 1
547.00927	546.9593	547.0593	Fe 1
547.39005	547.34	547.44	Fe 1
547.65642	547.6064	547.7064	Fe 1
548.3098699999999	548.2599	548.3599	Fe 1
548.71451	548.6645	548.7645	Fe 1
549.1831500000001	549.1332	549.2332	Fe 1
549.4462599999999	549.3963	549.4963	Fe 1
550.14649	550.0965	550.1965	Fe 1
550.67787	550.6279	550.7279	Fe 1
552.24461	552.1946	552.2946	Fe 1
552.55436	552.5044	552.6044	Fe 1
552.88978	552.8398	552.9398	Fe 1
553.4838	553.4338	553.5338	Fe 2
553.65801	553.608	553.708	Fe 1
553.85158	553.8016	553.9016	Fe 1
553.928	553.878	553.978	Fe 1
554.39356	554.3436	554.4436	Fe 1
554.65058	554.6006	554.7006	Fe 1
555.26918	555.2192	555.3192	Fe 1
556.02115	555.9712	556.0712	Fe 1
556.9618	556.9118	557.0118	Fe 1
557.28423	557.2342	557.3342	Fe 1
557.3102	557.2602	557.3602	Fe 1
557.60888	557.5589	557.6589	Fe 1
558.4764600000001	558.4265	558.5265	Fe 1
558.67555	558.6256	558.7256	Fe 1
558.7574	558.7074	558.8074	Fe 1
561.56438	561.5144	561.6144	Fe 1
561.86323	561.8132	561.9132	Fe 1
561.9595400000001	561.9095	562.0095	Fe 1
562.40219	562.3522	562.4522	Fe 1
563.3946100000001	563.3446	563.4446	Fe 1
563.58222	563.5322	563.6322	Fe 1
563.66958	563.6196	563.7196	Fe 1
563.82621	563.7762	563.8762	Fe 1
564.1434	564.0934	564.1934	Fe 1
564.99869	564.9487	565.0487	Fe 1
565.14689	565.0969	565.1969	Fe 1
565.23176	565.1818	565.2818	Fe 1
565.38651	565.3365	565.4365	Fe 1
565.51764	565.4676	565.5676	Fe 1
566.13447	566.0845	566.1845	Fe 1
566.25161	566.2016	566.3016	Fe 1
566.75179	566.7018	566.8018	Fe 1
567.90229	567.8523	567.9523	Fe 1
569.1497	569.0997	569.1997	Fe 1
569.60892	569.5589	569.6589	Fe 1
569.802	569.752	569.852	Fe 1
570.1544200000001	570.1044	570.2044	Fe 1
570.54642	570.4964	570.5964	Fe 1
571.7832500000001	571.7333	571.8332	Fe 1
573.17618	573.1262	573.2262	Fe 1
573.2296	573.1796	573.2796	Fe 1
574.1847700000001	574.1348	574.2348	Fe 1
574.296	574.246	574.346	Fe 1
576.03439	575.9844	576.0844	Fe 1
577.50805	577.4581	577.558	Fe 1
577.84533	577.7953	577.8953	Fe 1
578.4658000000001	578.4158	578.5158	Fe 1
579.39147	579.3415	579.4415	Fe 1
580.67249	580.6225	580.7225	Fe 1
580.92174	580.8717	580.9717	Fe 1
581.19144	581.1414	581.2414	Fe 1
581.48071	581.4307	581.5307	Fe 1
582.7877000000001	582.7377	582.8377	Fe 1
583.51	583.46	583.56	Fe 1
583.77012	583.7201	583.8201	Fe 1
583.83718	583.7872	583.8872	Fe 1
584.9683299999999	584.9183	585.0183	Fe 1
585.2218700000001	585.1719	585.2719	Fe 1
585.31483	585.2648	585.3648	Fe 1
585.50758	585.4576	585.5576	Fe 1
585.60879	585.5588	585.6588	Fe 1
585.8778	585.8278	585.9278	Fe 1
587.9487	587.8987	587.9987	Fe 1
588.0027200000001	587.9527	588.0527	Fe 1
588.12797	588.078	588.178	Fe 1
588.38165	588.3317	588.4316	Fe 1
589.8215299999999	589.7715	589.8715	Fe 1
590.24731	590.1973	590.2973	Fe 1
590.5671199999999	590.5171	590.6171	Fe 1
591.62473	591.5747	591.6747	Fe 1
592.77887	592.7289	592.8289	Fe 1
592.9676400000001	592.9176	593.0176	Fe 1
593.01799	592.968	593.068	Fe 1
593.4654499999999	593.4154	593.5154	Fe 1
594.09911	594.0491	594.1491	Fe 1
595.27179	595.2218	595.3218	Fe 1
595.6694	595.6194	595.7194	Fe 1
599.13709	599.0871	599.1871	Fe 2
600.30111	600.2511	600.3511	Fe 1
600.85558	600.8056	600.9056	Fe 1
601.2209799999999	601.171	601.271	Fe 1
602.40575	602.3558	602.4558	Fe 1
602.70508	602.6551	602.7551	Fe 1
605.60046	605.5505	605.6505	Fe 1
606.54821	606.4982	606.5982	Fe 1
607.90077	607.8508	607.9508	Fe 1
608.27101	608.221	608.321	Fe 1
608.41017	608.3602	608.4602	Fe 2
609.36429	609.3143	609.4143	Fe 1
609.43728	609.3873	609.4873	Fe 1
609.66641	609.6164	609.7164	Fe 1
611.33192	611.2819	611.3819	Fe 2
612.02464	611.9746	612.0746	Fe 1
612.79062	612.7406	612.8406	Fe 1
