wave_peak	wave_base	wave_top	note
481.13013	481.0801	481.1801	Nd 2
481.13167000000004	481.0817	481.1817	Nd 2
481.13217000000003	481.0822	481.1822	Nd 2
481.13293999999996	481.0829	481.1829	Nd 2
481.13356999999996	481.0836	481.1836	Nd 2
481.13395	481.084	481.184	Nd 2
481.13397999999995	481.084	481.184	Nd 2
481.13406999999995	481.0841	481.1841	Nd 2
481.13419999999996	481.0842	481.1842	Nd 2
481.13419999999996	481.0842	481.1842	Nd 2
481.13419999999996	481.0842	481.1842	Nd 2
481.13554000000005	481.0855	481.1855	Nd 2
481.13559	481.0856	481.1856	Nd 2
481.13685999999996	481.0869	481.1869	Nd 2
481.13707999999997	481.0871	481.1871	Nd 2
481.13792	481.0879	481.1879	Nd 2
481.13907	481.0891	481.1891	Nd 2
491.43624	491.3862	491.4862	Nd 2
491.437	491.387	491.487	Nd 2
491.43702999999994	491.387	491.487	Nd 2
491.43719	491.3872	491.4872	Nd 2
491.43759	491.3876	491.4876	Nd 2
491.438	491.388	491.488	Nd 2
491.438	491.388	491.488	Nd 2
491.438	491.388	491.488	Nd 2
491.43831	491.3883	491.4883	Nd 2
491.43834	491.3883	491.4883	Nd 2
491.43910999999997	491.3891	491.4891	Nd 2
491.43974	491.3897	491.4897	Nd 2
494.69911	494.6491	494.7491	Nd 2
494.70020000000005	494.6502	494.7502	Nd 2
494.70028	494.6503	494.7503	Nd 2
494.70056000000005	494.6506	494.7506	Nd 2
494.70129	494.6513	494.7513	Nd 2
494.70146000000005	494.6515	494.7515	Nd 2
494.7015	494.6515	494.7515	Nd 2
494.70200000000006	494.652	494.752	Nd 2
494.70200000000006	494.652	494.752	Nd 2
494.70200000000006	494.652	494.752	Nd 2
494.70241999999996	494.6524	494.7524	Nd 2
494.70250999999996	494.6525	494.7525	Nd 2
494.70351	494.6535	494.7535	Nd 2
494.70366	494.6537	494.7537	Nd 2
494.70466999999996	494.6547	494.7547	Nd 2
497.08799	497.038	497.138	Nd 2
497.08907	497.0391	497.1391	Nd 2
497.08918000000006	497.0392	497.1392	Nd 2
497.09026000000006	497.0403	497.1403	Nd 2
497.09084999999993	497.0408	497.1408	Nd 2
497.09084999999993	497.0408	497.1408	Nd 2
497.09084999999993	497.0408	497.1408	Nd 2
497.09084999999993	497.0408	497.1408	Nd 2
497.09084999999993	497.0408	497.1408	Nd 2
497.09092	497.0409	497.1409	Nd 2
497.09146	497.0415	497.1415	Nd 2
497.09263	497.0426	497.1426	Nd 2
497.09264999999994	497.0426	497.1426	Nd 2
497.09393	497.0439	497.1439	Nd 2
498.98904000000005	498.939	499.039	Nd 2
498.99129000000005	498.9413	499.0413	Nd 2
498.99141	498.9414	499.0414	Nd 2
498.99277	498.9428	499.0428	Nd 2
498.99361	498.9436	499.0436	Nd 2
498.99413999999996	498.9441	499.0441	Nd 2
498.995	498.945	499.045	Nd 2
498.995	498.945	499.045	Nd 2
498.995	498.945	499.045	Nd 2
498.99532	498.9453	499.0453	Nd 2
498.99539000000004	498.9454	499.0454	Nd 2
498.99562	498.9456	499.0456	Nd 2
498.99573	498.9457	499.0457	Nd 2
498.99652	498.9465	499.0465	Nd 2
498.99745	498.9474	499.0474	Nd 2
498.99754	498.9475	499.0475	Nd 2
498.99893000000003	498.9489	499.0489	Nd 2
498.99907999999994	498.9491	499.0491	Nd 2
499.00051999999994	498.9505	499.0505	Nd 2
499.00176	498.9518	499.0518	Nd 2
499.8541	499.8041	499.9041	Nd 2
508.98257	508.9326	509.0326	Nd 2
508.98271000000005	508.9327	509.0327	Nd 2
508.98292000000004	508.9329	509.0329	Nd 2
508.98297	508.933	509.033	Nd 2
508.9832	508.9332	509.0332	Nd 2
508.9832	508.9332	509.0332	Nd 2
508.9832	508.9332	509.0332	Nd 2
508.98357999999996	508.9336	509.0336	Nd 2
508.98401	508.934	509.034	Nd 2
509.27619999999996	509.2262	509.3262	Nd 2
509.27696	509.227	509.327	Nd 2
509.2773	509.2273	509.3273	Nd 2
509.2777	509.2277	509.3277	Nd 2
509.27815	509.2282	509.3282	Nd 2
509.2786	509.2286	509.3286	Nd 2
509.27879999999993	509.2288	509.3288	Nd 2
509.27879999999993	509.2288	509.3288	Nd 2
509.27879999999993	509.2288	509.3288	Nd 2
509.2794	509.2294	509.3294	Nd 2
509.27979999999997	509.2298	509.3298	Nd 2
509.28121	509.2312	509.3312	Nd 2
514.32783	514.2778	514.3778	Nd 2
514.32942	514.2794	514.3794	Nd 2
514.33005	514.2801	514.38	Nd 2
514.33077	514.2808	514.3808	Nd 2
514.33128	514.2813	514.3813	Nd 2
514.33214	514.2821	514.3821	Nd 2
514.33239	514.2824	514.3824	Nd 2
514.33289	514.2829	514.3829	Nd 2
514.3330100000001	514.283	514.383	Nd 2
514.3337	514.2837	514.3837	Nd 2
514.3337	514.2837	514.3837	Nd 2
514.3337	514.2837	514.3837	Nd 2
514.33407	514.2841	514.3841	Nd 2
514.33429	514.2843	514.3843	Nd 2
514.33543	514.2854	514.3854	Nd 2
514.33648	514.2865	514.3865	Nd 2
514.3369700000001	514.287	514.387	Nd 2
