wave_peak	wave_base	wave_top	note
487.3438	487.2938	487.3938	Ni 1
495.32	495.27	495.37	Ni 1
497.613	497.563	497.663	Ni 1
497.63255	497.5826	497.6826	Ni 1
497.66967999999997	497.6197	497.7197	Ni 1
500.37407	500.3241	500.4241	Ni 1
503.5357	503.4857	503.5857	Ni 1
513.7073800000001	513.6574	513.7574	Ni 1
515.7976	515.7476	515.8476	Ni 1
542.4645	542.4145	542.5145	Ni 1
543.58576	543.5358	543.6358	Ni 1
547.6903500000001	547.6404	547.7404	Ni 1
557.87183	557.8218	557.9218	Ni 1
558.7857799999999	558.7358	558.8358	Ni 1
574.83507	574.7851	574.8851	Ni 1
584.69935	584.6494	584.7493	Ni 1
600.73098	600.681	600.781	Ni 1
610.8115799999999	610.7616	610.8616	Ni 1
612.8973100000001	612.8473	612.9473	Ni 1
617.6807	617.6307	617.7307	Ni 1
617.72415	617.6742	617.7742	Ni 1
619.1178299999999	619.0678	619.1678	Ni 1
620.46	620.41	620.51	Ni 1
622.3981	622.3481	622.4481	Ni 1
623.00889	622.9589	623.0589	Ni 1
632.75985	632.7099	632.8098	Ni 1
637.8247	637.7747	637.8747	Ni 1
641.4581000000001	641.4081	641.5081	Ni 1
648.2798300000001	648.2298	648.3298	Ni 1
653.2873	653.2373	653.3373	Ni 1
658.63098	658.581	658.681	Ni 1
664.36303	664.313	664.413	Ni 1
676.7772	676.7272	676.8272	Ni 1
