wave_peak	wave_base	wave_top	note
525.96112	525.9111	526.0111	Pr 2
525.9629600000001	525.913	526.013	Pr 2
525.96465	525.9147	526.0146	Pr 2
525.96627	525.9163	526.0163	Pr 2
525.96757	525.9176	526.0176	Pr 2
525.9686399999999	525.9186	526.0186	Pr 2
525.9700700000001	525.9201	526.0201	Pr 2
525.97218	525.9222	526.0222	Pr 2
525.9735499999999	525.9236	526.0235	Pr 2
532.26729	532.2173	532.3173	Pr 2
532.27082	532.2208	532.3208	Pr 2
532.27189	532.2219	532.3219	Pr 2
532.27313	532.2231	532.3231	Pr 2
532.2744399999999	532.2244	532.3244	Pr 2
532.27587	532.2259	532.3259	Pr 2
532.27743	532.2274	532.3274	Pr 2
532.27913	532.2291	532.3291	Pr 2
532.2809500000001	532.231	532.331	Pr 2
