wave_peak	wave_base	wave_top	note
503.10209999999995	503.0521	503.1521	Sc 2
535.60868	535.5587	535.6587	Sc 1
535.60971	535.5597	535.6597	Sc 1
548.46157	548.4116	548.5116	Sc 1
548.4629299999999	548.4129	548.5129	Sc 1
548.46412	548.4141	548.5141	Sc 1
552.0482	551.9982	552.0982	Sc 1
552.04936	551.9994	552.0994	Sc 1
552.05078	552.0008	552.1008	Sc 1
552.05188	552.0019	552.1019	Sc 1
552.679	552.629	552.729	Sc 2
565.7896	565.7396	565.8396	Sc 2
566.7149000000001	566.6649	566.7649	Sc 2
568.4202	568.3702	568.4702	Sc 2
568.68251	568.6325	568.7325	Sc 1
568.68386	568.6339	568.7339	Sc 1
568.68543	568.6354	568.7354	Sc 1
568.68659	568.6366	568.7366	Sc 1
568.6879200000001	568.6379	568.7379	Sc 1
621.0604599999999	621.0105	621.1105	Sc 1
621.0617	621.0117	621.1117	Sc 1
621.06448	621.0145	621.1145	Sc 1
621.066	621.016	621.116	Sc 1
621.0680500000001	621.0181	621.118	Sc 1
621.06995	621.02	621.1199	Sc 1
660.4601	660.4101	660.5101	Sc 2
