wave_peak	wave_base	wave_top	note
564.56128	564.5113	564.6113	Si 1
566.5554500000001	566.5055	566.6054	Si 1
568.4484	568.3984	568.4984	Si 1
569.0425	568.9925	569.0925	Si 1
570.1104	570.0604	570.1604	Si 1
570.83995	570.79	570.89	Si 1
577.2146	577.1646	577.2646	Si 1
579.30726	579.2573	579.3573	Si 1
594.8541	594.8041	594.9041	Si 1
634.71087	634.6609	634.7609	Si 2
637.13714	637.0871	637.1871	Si 2
672.18481	672.1348	672.2348	Si 1
674.1628	674.1128	674.2128	Si 1
889.27196	889.222	889.322	Si 1
889.9231299999999	889.8731	889.9731	Si 1
894.9091099999999	894.8591	894.9591	Si 1
