wave_peak	wave_base	wave_top	note
483.66422	483.6142	483.7142	Sm 2
483.66543	483.6154	483.7154	Sm 2
483.666	483.616	483.716	Sm 2
483.666	483.616	483.716	Sm 2
483.666	483.616	483.716	Sm 2
483.666	483.616	483.716	Sm 2
483.666	483.616	483.716	Sm 2
483.666	483.616	483.716	Sm 2
483.66702999999995	483.617	483.717	Sm 2
483.66814000000005	483.6181	483.7181	Sm 2
485.43545000000006	485.3855	485.4855	Sm 2
485.43664	485.3866	485.4866	Sm 2
485.43680000000006	485.3868	485.4868	Sm 2
485.43680000000006	485.3868	485.4868	Sm 2
485.43680000000006	485.3868	485.4868	Sm 2
485.43680000000006	485.3868	485.4868	Sm 2
485.43680000000006	485.3868	485.4868	Sm 2
485.43680000000006	485.3868	485.4868	Sm 2
485.43810999999994	485.3881	485.4881	Sm 2
492.9536	492.9036	493.0036	Sm 2
492.95399	492.904	493.004	Sm 2
492.95466	492.9047	493.0047	Sm 2
492.95516	492.9052	493.0052	Sm 2
492.95559999999995	492.9056	493.0056	Sm 2
492.95559999999995	492.9056	493.0056	Sm 2
492.95559999999995	492.9056	493.0056	Sm 2
492.95559999999995	492.9056	493.0056	Sm 2
492.95559999999995	492.9056	493.0056	Sm 2
492.95597	492.906	493.006	Sm 2
492.95624	492.9062	493.0062	Sm 2
492.95717	492.9072	493.0072	Sm 2
492.95727	492.9073	493.0073	Sm 2
494.85866999999996	494.8087	494.9087	Sm 2
494.85941	494.8094	494.9094	Sm 2
494.86008000000004	494.8101	494.9101	Sm 2
494.86058999999995	494.8106	494.9106	Sm 2
494.86145999999997	494.8115	494.9115	Sm 2
494.86174	494.8117	494.9117	Sm 2
494.86280999999997	494.8128	494.9128	Sm 2
494.86286	494.8129	494.9129	Sm 2
494.863	494.813	494.913	Sm 2
494.863	494.813	494.913	Sm 2
494.863	494.813	494.913	Sm 2
494.863	494.813	494.913	Sm 2
494.863	494.813	494.913	Sm 2
494.86387	494.8139	494.9139	Sm 2
494.86415	494.8142	494.9142	Sm 2
494.86503000000005	494.815	494.915	Sm 2
494.86511	494.8151	494.9151	Sm 2
494.86616000000004	494.8162	494.9162	Sm 2
494.86685	494.8168	494.9168	Sm 2
