wave_peak	wave_base	wave_top	note
475.81178	475.7618	475.8618	Ti 1
475.92697	475.877	475.977	Ti 1
477.82547000000005	477.7755	477.8755	Ti 1
479.85312999999996	479.8031	479.9031	Ti 2
486.56103999999993	486.511	486.611	Ti 2
487.40094	487.3509	487.4509	Ti 2
491.11944000000005	491.0694	491.1694	Ti 2
491.36134000000004	491.3113	491.4113	Ti 1
491.52286999999995	491.4729	491.5729	Ti 1
492.61481000000003	492.5648	492.6648	Ti 1
496.47200000000004	496.422	496.522	Ti 1
498.17305	498.123	498.223	Ti 1
499.70967	499.6597	499.7597	Ti 1
499.95029999999997	499.9003	500.0003	Ti 1
500.51671999999996	500.4667	500.5667	Ti 2
500.96447	500.9145	501.0145	Ti 1
501.61609	501.5661	501.6661	Ti 1
502.48444	502.4344	502.5344	Ti 1
503.99574	503.9457	504.0457	Ti 1
504.35838	504.3084	504.4084	Ti 1
511.34400999999997	511.294	511.394	Ti 1
514.54602	514.496	514.596	Ti 1
514.7477700000001	514.6978	514.7978	Ti 1
515.21835	515.1684	515.2683	Ti 1
518.5902	518.5402	518.6402	Ti 2
521.03843	520.9884	521.0884	Ti 1
521.1530300000001	521.103	521.203	Ti 2
521.97015	521.9202	522.0201	Ti 1
522.362	522.312	522.412	Ti 1
522.4300000000001	522.38	522.48	Ti 1
523.0967499999999	523.0468	523.1467	Ti 1
528.23764	528.1876	528.2876	Ti 1
529.57758	529.5276	529.6276	Ti 1
530.0010500000001	529.9511	530.051	Ti 1
533.67863	533.6286	533.7286	Ti 2
533.83061	533.7806	533.8806	Ti 1
536.6638700000001	536.6139	536.7139	Ti 1
538.10216	538.0522	538.1522	Ti 2
538.46299	538.413	538.513	Ti 1
541.8767799999999	541.8268	541.9268	Ti 2
542.625	542.575	542.675	Ti 1
544.89065	544.8407	544.9406	Ti 1
544.91497	544.865	544.965	Ti 1
545.36423	545.3142	545.4142	Ti 1
546.04986	545.9999	546.0999	Ti 1
546.57728	546.5273	546.6273	Ti 1
547.1192	547.0692	547.1692	Ti 1
549.01477	548.9648	549.0648	Ti 1
549.0692799999999	549.0193	549.1193	Ti 2
549.0845999999999	549.0346	549.1346	Ti 1
551.43434	551.3843	551.4843	Ti 1
551.45335	551.4034	551.5034	Ti 1
566.2149999999999	566.165	566.265	Ti 1
568.946	568.896	568.996	Ti 1
570.266	570.216	570.316	Ti 1
571.645	571.595	571.695	Ti 1
573.9469	573.8969	573.9969	Ti 1
586.64513	586.5951	586.6951	Ti 1
590.33149	590.2815	590.3815	Ti 1
591.85363	591.8036	591.9036	Ti 1
592.211	592.161	592.261	Ti 1
593.7809100000001	593.7309	593.8309	Ti 1
595.31596	595.266	595.366	Ti 1
596.58281	596.5328	596.6328	Ti 1
597.85406	597.8041	597.9041	Ti 1
606.46262	606.4126	606.5126	Ti 1
609.1171	609.0671	609.1671	Ti 1
609.27918	609.2292	609.3292	Ti 1
612.6216000000001	612.5716	612.6716	Ti 1
625.81016	625.7602	625.8602	Ti 1
631.2236	631.1736	631.2736	Ti 1
633.60993	633.5599	633.6599	Ti 1
639.54718	639.4972	639.5972	Ti 1
649.76838	649.7184	649.8184	Ti 1
655.4223	655.3723	655.4723	Ti 1
655.60618	655.5562	655.6562	Ti 1
659.91048	659.8605	659.9605	Ti 1
868.2983099999999	868.2483	868.3483	Ti 1
869.23295	869.183	869.283	Ti 1
873.4710499999999	873.421	873.521	Ti 1
877.8686100000001	877.8186	877.9186	Ti 1
