wave_peak	wave_base	wave_top	note
475.18217999999996	475.1322	475.2322	Na 1
568.8205	568.7705	568.8705	Na 1
588.99509	588.9451	589.0451	Na 1
589.5924200000001	589.5424	589.6424	Na 1
615.42255	615.3726	615.4726	Na 1
616.07471	616.0247	616.1247	Na 1
475.40182999999996	475.3518	475.4518	Mn 1
475.40301	475.353	475.453	Mn 1
475.40472	475.3547	475.4547	Mn 1
475.40635000000003	475.3564	475.4564	Mn 1
475.40784	475.3578	475.4578	Mn 1
476.14912000000004	476.0991	476.1991	Mn 1
476.15060000000005	476.1006	476.2006	Mn 1
476.15198	476.102	476.202	Mn 1
476.15407999999996	476.1041	476.2041	Mn 1
476.23481000000004	476.1848	476.2848	Mn 1
476.23618	476.1862	476.2862	Mn 1
476.23708999999997	476.1871	476.2871	Mn 1
476.23810000000003	476.1881	476.2881	Mn 1
476.23951	476.1895	476.2895	Mn 1
476.5838	476.5338	476.6338	Mn 1
476.58525	476.5352	476.6352	Mn 1
476.58647	476.5365	476.6365	Mn 1
476.64021	476.5902	476.6902	Mn 1
476.64144999999996	476.5914	476.6914	Mn 1
476.64282000000003	476.5928	476.6928	Mn 1
476.64408000000003	476.5941	476.6941	Mn 1
478.33922	478.2892	478.3892	Mn 1
478.34052	478.2905	478.3905	Mn 1
478.34169	478.2917	478.3917	Mn 1
478.34319999999997	478.2932	478.3932	Mn 1
478.34476000000006	478.2948	478.3948	Mn 1
482.34635	482.2964	482.3964	Mn 1
482.34825	482.2982	482.3982	Mn 1
482.3495	482.2995	482.3995	Mn 1
482.35078999999996	482.3008	482.4008	Mn 1
482.35218999999995	482.3022	482.4022	Mn 1
482.35333	482.3033	482.4033	Mn 1
500.48765000000003	500.4376	500.5376	Mn 1
500.48885	500.4388	500.5388	Mn 1
500.49016	500.4402	500.5402	Mn 1
500.4914	500.4414	500.5414	Mn 1
511.78997	511.74	511.84	Mn 1
511.7916	511.7416	511.8416	Mn 1
511.79346	511.7435	511.8435	Mn 1
539.46191	539.4119	539.5119	Mn 1
539.4653900000001	539.4154	539.5154	Mn 1
539.4683	539.4183	539.5183	Mn 1
539.47063	539.4206	539.5206	Mn 1
539.47237	539.4224	539.5224	Mn 1
539.47352	539.4235	539.5235	Mn 1
540.73279	540.6828	540.7828	Mn 1
540.73412	540.6841	540.7841	Mn 1
540.73528	540.6853	540.7853	Mn 1
540.73653	540.6865	540.7865	Mn 1
540.73811	540.6881	540.7881	Mn 1
540.7398000000001	540.6898	540.7898	Mn 1
540.74181	540.6918	540.7918	Mn 1
540.7439400000001	540.6939	540.7939	Mn 1
540.7464200000001	540.6964	540.7964	Mn 1
540.74901	540.699	540.799	Mn 1
542.02563	541.9756	542.0756	Mn 1
542.02716	541.9772	542.0772	Mn 1
542.02935	541.9794	542.0794	Mn 1
542.0308	541.9808	542.0808	Mn 1
542.0327500000001	541.9828	542.0828	Mn 1
542.0346999999999	541.9847	542.0847	Mn 1
542.03717	541.9872	542.0872	Mn 1
542.03963	541.9896	542.0896	Mn 1
542.04234	541.9923	542.0923	Mn 1
543.25014	543.2001	543.3001	Mn 1
543.25325	543.2032	543.3032	Mn 1
543.25574	543.2057	543.3057	Mn 1
543.2575899999999	543.2076	543.3076	Mn 1
543.25892	543.2089	543.3089	Mn 1
551.6693	551.6193	551.7193	Mn 1
551.6709	551.6209	551.7209	Mn 1
551.67327	551.6233	551.7233	Mn 1
551.67479	551.6248	551.7248	Mn 1
551.6762200000001	551.6262	551.7262	Mn 1
551.67814	551.6281	551.7281	Mn 1
551.68017	551.6302	551.7302	Mn 1
551.68208	551.6321	551.7321	Mn 1
601.3454899999999	601.2955	601.3955	Mn 1
601.3475999999999	601.2976	601.3976	Mn 1
601.34944	601.2994	601.3994	Mn 1
601.3510100000001	601.301	601.401	Mn 1
601.35237	601.3024	601.4024	Mn 1
601.35378	601.3038	601.4038	Mn 1
601.6586	601.6086	601.7086	Mn 1
601.66131	601.6113	601.7113	Mn 1
601.66346	601.6135	601.7135	Mn 1
601.6652	601.6152	601.7152	Mn 1
601.66674	601.6167	601.7167	Mn 1
601.66818	601.6182	601.7182	Mn 1
602.17169	602.1217	602.2217	Mn 1
602.17442	602.1244	602.2244	Mn 1
602.17711	602.1271	602.2271	Mn 1
602.17893	602.1289	602.2289	Mn 1
602.18013	602.1301	602.2301	Mn 1
602.18161	602.1316	602.2316	Mn 1
644.09104	644.041	644.141	Mn 1
644.09226	644.0423	644.1423	Mn 1
644.09322	644.0432	644.1432	Mn 1
644.0944499999999	644.0444	644.1444	Mn 1
644.09577	644.0458	644.1458	Mn 1
475.81178	475.7618	475.8618	Ti 1
475.92697	475.877	475.977	Ti 1
477.82547000000005	477.7755	477.8755	Ti 1
479.85312999999996	479.8031	479.9031	Ti 2
486.56103999999993	486.511	486.611	Ti 2
487.40094	487.3509	487.4509	Ti 2
491.11944000000005	491.0694	491.1694	Ti 2
491.36134000000004	491.3113	491.4113	Ti 1
491.52286999999995	491.4729	491.5729	Ti 1
492.61481000000003	492.5648	492.6648	Ti 1
496.47200000000004	496.422	496.522	Ti 1
498.17305	498.123	498.223	Ti 1
499.70967	499.6597	499.7597	Ti 1
499.95029999999997	499.9003	500.0003	Ti 1
500.51671999999996	500.4667	500.5667	Ti 2
500.96447	500.9145	501.0145	Ti 1
501.61609	501.5661	501.6661	Ti 1
502.48444	502.4344	502.5344	Ti 1
503.99574	503.9457	504.0457	Ti 1
504.35838	504.3084	504.4084	Ti 1
511.34400999999997	511.294	511.394	Ti 1
514.54602	514.496	514.596	Ti 1
514.7477700000001	514.6978	514.7978	Ti 1
515.21835	515.1684	515.2683	Ti 1
518.5902	518.5402	518.6402	Ti 2
521.03843	520.9884	521.0884	Ti 1
521.1530300000001	521.103	521.203	Ti 2
521.97015	521.9202	522.0201	Ti 1
522.362	522.312	522.412	Ti 1
522.4300000000001	522.38	522.48	Ti 1
523.0967499999999	523.0468	523.1467	Ti 1
528.23764	528.1876	528.2876	Ti 1
529.57758	529.5276	529.6276	Ti 1
530.0010500000001	529.9511	530.051	Ti 1
533.67863	533.6286	533.7286	Ti 2
533.83061	533.7806	533.8806	Ti 1
536.6638700000001	536.6139	536.7139	Ti 1
538.10216	538.0522	538.1522	Ti 2
538.46299	538.413	538.513	Ti 1
541.8767799999999	541.8268	541.9268	Ti 2
542.625	542.575	542.675	Ti 1
544.89065	544.8407	544.9406	Ti 1
544.91497	544.865	544.965	Ti 1
545.36423	545.3142	545.4142	Ti 1
546.04986	545.9999	546.0999	Ti 1
546.57728	546.5273	546.6273	Ti 1
547.1192	547.0692	547.1692	Ti 1
549.01477	548.9648	549.0648	Ti 1
549.0692799999999	549.0193	549.1193	Ti 2
549.0845999999999	549.0346	549.1346	Ti 1
551.43434	551.3843	551.4843	Ti 1
551.45335	551.4034	551.5034	Ti 1
566.2149999999999	566.165	566.265	Ti 1
568.946	568.896	568.996	Ti 1
570.266	570.216	570.316	Ti 1
571.645	571.595	571.695	Ti 1
573.9469	573.8969	573.9969	Ti 1
586.64513	586.5951	586.6951	Ti 1
590.33149	590.2815	590.3815	Ti 1
591.85363	591.8036	591.9036	Ti 1
592.211	592.161	592.261	Ti 1
593.7809100000001	593.7309	593.8309	Ti 1
595.31596	595.266	595.366	Ti 1
596.58281	596.5328	596.6328	Ti 1
597.85406	597.8041	597.9041	Ti 1
606.46262	606.4126	606.5126	Ti 1
609.1171	609.0671	609.1671	Ti 1
609.27918	609.2292	609.3292	Ti 1
612.6216000000001	612.5716	612.6716	Ti 1
625.81016	625.7602	625.8602	Ti 1
631.2236	631.1736	631.2736	Ti 1
633.60993	633.5599	633.6599	Ti 1
639.54718	639.4972	639.5972	Ti 1
649.76838	649.7184	649.8184	Ti 1
655.4223	655.3723	655.4723	Ti 1
655.60618	655.5562	655.6562	Ti 1
659.91048	659.8605	659.9605	Ti 1
868.2983099999999	868.2483	868.3483	Ti 1
869.23295	869.183	869.283	Ti 1
873.4710499999999	873.421	873.521	Ti 1
877.8686100000001	877.8186	877.9186	Ti 1
477.3941	477.3441	477.4441	Ce 2
491.4924	491.4424	491.5424	Ce 2
511.71692999999993	511.6669	511.7669	Ce 2
518.7457999999999	518.6958	518.7958	Ce 2
527.4229	527.3729	527.4729	Ce 2
533.0555999999999	533.0056	533.1056	Ce 2
604.3372999999999	604.2873	604.3873	Ce 2
876.9913	876.9413	877.0413	Ce 2
877.21353	877.1635	877.2635	Ce 2
477.94390999999996	477.8939	477.9939	Fe 1
478.78266	478.7327	478.8327	Fe 1
478.87566	478.8257	478.9257	Fe 1
478.96508000000006	478.9151	479.0151	Fe 1
479.39614	479.3461	479.4461	Fe 1
479.43540999999993	479.3854	479.4854	Fe 1
479.9406	479.8906	479.9906	Fe 1
480.28797000000003	480.238	480.338	Fe 1
480.81478	480.7648	480.8648	Fe 1
486.94633999999996	486.8963	486.9963	Fe 1
487.37510000000003	487.3251	487.4251	Fe 1
487.58770000000004	487.5377	487.6377	Fe 1
487.76044	487.7104	487.8104	Fe 1
488.21431	488.1643	488.2643	Fe 1
488.54303	488.493	488.593	Fe 1
489.14921000000004	489.0992	489.1992	Fe 1
490.33099000000004	490.281	490.381	Fe 1
490.77317000000005	490.7232	490.8232	Fe 1
491.72299000000004	491.673	491.773	Fe 1
491.80125	491.7512	491.8512	Fe 1
492.05023	492.0002	492.1002	Fe 1
492.39212	492.3421	492.4421	Fe 2
492.47695000000004	492.427	492.527	Fe 1
493.88138	493.8314	493.9314	Fe 1
493.96866	493.9187	494.0187	Fe 1
494.63873	494.5887	494.6887	Fe 1
495.01054999999997	494.9606	495.0606	Fe 1
496.25716	496.2072	496.3072	Fe 1
496.99173	496.9417	497.0417	Fe 1
498.52528	498.4753	498.5753	Fe 1
498.55467	498.5047	498.6047	Fe 1
498.62226	498.5723	498.6723	Fe 1
499.27853999999996	499.2285	499.3285	Fe 1
499.33502	499.285	499.385	Fe 2
499.41295	499.363	499.463	Fe 1
499.91124	499.8612	499.9612	Fe 1
500.18633	500.1363	500.2363	Fe 1
501.26947	501.2195	501.3195	Fe 1
501.49424	501.4442	501.5442	Fe 1
502.31858	502.2686	502.3686	Fe 1
502.34975000000003	502.2998	502.3998	Fe 1
504.42107999999996	504.3711	504.4711	Fe 1
504.98197	504.932	505.032	Fe 1
505.46425	505.4142	505.5142	Fe 1
505.68412	505.6341	505.7341	Fe 1
506.00784000000004	505.9578	506.0578	Fe 1
506.71495000000004	506.665	506.765	Fe 1
506.87657	506.8266	506.9266	Fe 1
507.92227	507.8723	507.9723	Fe 1
507.97397	507.924	508.024	Fe 1
508.33382	508.2838	508.3838	Fe 1
508.81531000000007	508.7653	508.8653	Fe 1
509.07731	509.0273	509.1273	Fe 1
