Element	Ion	Isotope	lambda	r_lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Labellow	Jlow	Elow	r_Elow	Labelup	Jup	Eup	r_Eup	Rad-damp	r_Rad-damp	Sta-damp	r_Sta-damp	Vdw-damp	r_Vdw-damp
Na	1	0	4751.8218	NIST10	-2.078		GESMCHF	U	U	'  LS                                                          2p6.3p                   2P*'	1.5	2.104	NIST10	'  LS                                                              2p6.7s                2S'	0.5	4.713	NIST10						
Mn	1	0	4754.0183	DLSSC	-0.647		DLSSC	Y	U	'  LS                                                             3d5.(6S).4s.4p.(3P*) z8P*'	2.5	2.282	DLSSC	'  LS                                                                    3d5.4s.(7S).5s e8S'	3.5	4.889	DLSSC	7.98	K07	-5.43	K07	-7.6	K07
Mn	1	0	4754.0301	DLSSC	-0.787		DLSSC	Y	U	'  LS                                                             3d5.(6S).4s.4p.(3P*) z8P*'	2.5	2.282	DLSSC	'  LS                                                                    3d5.4s.(7S).5s e8S'	3.5	4.889	DLSSC	7.98	K07	-5.43	K07	-7.6	K07
Mn	1	0	4754.0472	DLSSC	-0.668		DLSSC	Y	U	'  LS                                                             3d5.(6S).4s.4p.(3P*) z8P*'	2.5	2.282	DLSSC	'  LS                                                                    3d5.4s.(7S).5s e8S'	3.5	4.889	DLSSC	7.98	K07	-5.43	K07	-7.6	K07
Mn	1	0	4754.0635	DLSSC	-0.67		DLSSC	Y	U	'  LS                                                             3d5.(6S).4s.4p.(3P*) z8P*'	2.5	2.282	DLSSC	'  LS                                                                    3d5.4s.(7S).5s e8S'	3.5	4.889	DLSSC	7.98	K07	-5.43	K07	-7.6	K07
Mn	1	0	4754.0784	DLSSC	-1.84		DLSSC	Y	U	'  LS                                                             3d5.(6S).4s.4p.(3P*) z8P*'	2.5	2.282	DLSSC	'  LS                                                                    3d5.4s.(7S).5s e8S'	3.5	4.889	DLSSC	7.98	K07	-5.43	K07	-7.6	K07
Ti	1	0	4758.1178	LGWSC	0.51		2013ApJS..205...11L	Y	Y	'  LS                                                                       3d3.(2H).4s a3H'	5.0	2.249	LGWSC	'  LS                                                                      3d3.(2H).4p x3H*'	5.0	4.854	LGWSC	8.08	K10	-6.04	K10	326.246	BA-J,BPM
Ti	1	0	4759.2697	LGWSC	0.59		2013ApJS..205...11L	Y	Y	'  LS                                                                       3d3.(2H).4s a3H'	6.0	2.256	LGWSC	'  LS                                                                      3d3.(2H).4p x3H*'	6.0	4.86	LGWSC	8.08	K10	-6.04	K10	327.246	BA-J,BPM
Mn	1	0	4761.4912	DLSSC	-1.166		DLSSC	Y	U	'  LS                                                                       3d6.(5D).4s a4D'	0.5	2.953	DLSSC	'  LS                                                                      3d6.(5D).4p z4F*'	1.5	5.556	DLSSC	7.78	K07	-6.09	K07	315.25	BA-J,BPM
Mn	1	0	4761.506	DLSSC	-0.548		DLSSC	Y	U	'  LS                                                                       3d6.(5D).4s a4D'	0.5	2.953	DLSSC	'  LS                                                                      3d6.(5D).4p z4F*'	1.5	5.556	DLSSC	7.78	K07	-6.09	K07	315.25	BA-J,BPM
Mn	1	0	4761.5198	DLSSC	-0.821		DLSSC	Y	U	'  LS                                                                       3d6.(5D).4s a4D'	0.5	2.953	DLSSC	'  LS                                                                      3d6.(5D).4p z4F*'	1.5	5.556	DLSSC	7.78	K07	-6.09	K07	315.25	BA-J,BPM
Mn	1	0	4761.5408	DLSSC	-1.613		DLSSC	Y	U	'  LS                                                                       3d6.(5D).4s a4D'	0.5	2.953	DLSSC	'  LS                                                                      3d6.(5D).4p z4F*'	1.5	5.556	DLSSC	7.78	K07	-6.09	K07	315.25	BA-J,BPM
