requested_name,match_name,element,median_value,mean_value,reported_value,catalog_id,catalog_citation,catalog_doi,note,solarnorm,median_uncertainty,std_dev,unique_citations,unique_dois
hd 11695,hd11695,,,,,,,,SUMMARY (median/mean),,,,,
hd 11695,hd11695,,,,,,,,SUMMARY (median/mean),,,,,
hd 11695,hd11695,,,,,,,,SUMMARY (median/mean),,,,,
hd 18884,hd18884,Ba_II,,,,,,,SUMMARY (median/mean),,,,,
hd 18884,hd18884,Eu_II,,,,,,,SUMMARY (median/mean),,,,,
hd 18884,hd18884,Y_II,,,,,,,SUMMARY (median/mean),,,,,
hd 18907,hd18907,Ba_II,-0.61,-0.64,,,,,SUMMARY (median/mean),,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.5,bensby05_raw_01_01_2025,Bensby et al. (2005) (2005),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.67,bensby14_raw_01_01_2025,Bensby et al. (2014) (2014),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.55,castro99_raw_01_01_2025,Castro et al. (1999) (1999),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.84,fulbright00_raw_01_01_2025,Fulbright (2000) (2000),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.61,jofre15_raw_01_01_2025,Jofre et al. (2015) (2015),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.59,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Ba_II,,,-0.8,reddy06_raw_01_01_2025,Reddy et al. (2006) (2006),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Eu_II,-0.25,-0.25,,,,,SUMMARY (median/mean),,,,Luck (2017) (2017),
hd 18907,hd18907,Eu_II,,,-0.25,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Luck (2017) (2017),
hd 18907,hd18907,Y_II,-0.62,-0.55,,,,,SUMMARY (median/mean),,,,Bensby et al. (2005) (2005); Fulbright (2000) (2000); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Y_II,,,-0.63,bensby05_raw_01_01_2025,Bensby et al. (2005) (2005),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Fulbright (2000) (2000); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Y_II,,,-0.62,fulbright00_raw_01_01_2025,Fulbright (2000) (2000),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Fulbright (2000) (2000); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Y_II,,,-0.37,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Fulbright (2000) (2000); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Y_II,,,-0.65,reddy06_raw_01_01_2025,Reddy et al. (2006) (2006),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Fulbright (2000) (2000); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 22049,hd22049,Ba_II,0.08,0.08,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016); Zhao et al. (2002) (2002),
hd 22049,hd22049,Ba_II,,,0.16,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016); Zhao et al. (2002) (2002),
hd 22049,hd22049,Ba_II,,,0.09,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016); Zhao et al. (2002) (2002),
