requested_name,match_name,element,median_value,mean_value,unique_citations,unique_dois
hd 11695,hd11695,,,,,
hd 11695,hd11695,,,,,
hd 11695,hd11695,,,,,
hd 18884,hd18884,Ba_II,,,,
hd 18884,hd18884,Eu_II,,,,
hd 18884,hd18884,Y_II,,,,
hd 18907,hd18907,Ba_II,-0.61,-0.64,Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Castro et al. (1999) (1999); Fulbright (2000) (2000); Jofre et al. (2015) (2015); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 18907,hd18907,Eu_II,-0.25,-0.25,Luck (2017) (2017),
hd 18907,hd18907,Y_II,-0.62,-0.55,Bensby et al. (2005) (2005); Fulbright (2000) (2000); Luck (2017) (2017); Reddy et al. (2006) (2006),
hd 22049,hd22049,Ba_II,0.08,0.08,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016); Zhao et al. (2002) (2002),
hd 22049,hd22049,Eu_II,0.09,0.11,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Luck (2018) (2018); Mishenina et al. (2013) (2013); Mishenina et al. (2016) (2016),
hd 22049,hd22049,Y_II,0.04,0.09,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Mishenina et al. (2013) (2013),
hd 23249,hd23249,Ba_II,0.06,0.08,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,0.23,0.24,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Y_II,0.28,0.24,Bensby et al. (2005) (2005); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 128621,hd128621,Ba_II,0.16,0.19,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Luck (2018) (2018); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Eu_II,0.16,0.2,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
hd 128621,hd128621,Y_II,0.13,0.13,Casamiquela et al. (2020) (2020); Neuforge-Verheecke & Magain (1997) (1997); Porto de Mello et al. (2008) (2008),
hd 10700,hd10700,Ba_II,-0.53,-0.55,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Eu_II,-0.02,-0.03,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Y_II,-0.58,-0.44,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 100407,hd100407,Ba_II,0.23,0.24,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Eu_II,0.13,0.13,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Y_II,0.4,0.4,Casamiquela et al. (2020) (2020),
