element	wave_A	wave_nm	loggf	EP	species	gamma	gamma6	vdW
106.1	5100.0	510.0	-5.703	2.338	106.00113	0.0	0.0	0.0
25.1	5100.031	510.0031	-4.73	6.531	25.1	0.0	0.0	0.0
27.0	5100.07	510.00699999999995	-0.82	4.11	27.0	0.0	0.0	0.0
41.0	5100.153	510.0153	-1.44	0.049	41.0	0.0	0.0	0.0
112.1	5100.249	510.0249	0.52	0.607	112.00124	0.0	0.0	0.0
62.1	5100.26	510.026	-0.49	1.492	62.1	0.0	0.0	0.0
42.0	5100.325	510.03249999999997	-1.75	2.985	42.0	0.0	0.0	0.0
112.1	5100.368	510.0368	0.52	0.606	112.00125	0.0	0.0	0.0
112.1	5100.381	510.03810000000004	-2.771	0.565	112.00124	0.0	0.0	0.0
62.0	5100.39	510.03900000000004	0.83	1.622	62.0	0.0	0.0	0.0
112.1	5100.393	510.0393	-2.993	0.607	112.00124	0.0	0.0	0.0
112.1	5100.436	510.04359999999997	-0.021	0.566	112.00124	0.0	0.0	0.0
112.1	5100.441	510.04409999999996	-1.737	0.216	112.00124	0.0	0.0	0.0
112.1	5100.47	510.047	-3.017	0.607	112.00124	0.0	0.0	0.0
112.1	5100.473	510.0473	0.52	0.605	112.00126	0.0	0.0	0.0
24.1	5100.51	510.05100000000004	-3.19	6.8	24.1	0.0	0.0	0.0
106.1	5100.528	510.05280000000005	-2.961	2.338	106.00113	0.0	0.0	0.0
106.1	5100.547	510.05469999999997	-4.295	2.152	106.00113	0.0	0.0	0.0
106.1	5100.581	510.0581	-4.53	2.152	106.00113	0.0	0.0	0.0
112.1	5100.614	510.06139999999994	0.537	0.607	112.00124	0.0	0.0	0.0
90.0	5100.621	510.0621	-1.81	0.615	90.0	0.0	0.0	0.0
26.1	5100.664	510.0664	-4.17	2.807	26.1	0.0	0.0	0.0
24.0	5100.674	510.0674	-3.76	3.844	24.0	0.0	0.0	0.0
24.0	5100.674	510.0674	-3.72	5.276	24.0	0.0	0.0	0.0
106.1	5100.728	510.07280000000003	-3.72	0.988	106.00112	0.0	0.0	0.0
112.1	5100.731	510.07309999999995	0.537	0.606	112.00125	0.0	0.0	0.0
112.1	5100.74	510.07399999999996	-0.884	0.51	112.00124	0.0	0.0	0.0
26.0	5100.744	510.07439999999997	-2.45	4.952	26.0	0.0	0.0	0.0
106.1	5100.745	510.0745	-7.143	2.053	106.00113	0.0	0.0	0.0
112.1	5100.748	510.0748	-1.663	0.51	112.00124	0.0	0.0	0.0
22.0	5100.751	510.0751	-2.57	3.158	22.0	0.0	0.0	0.0
106.1	5100.768	510.0768	-5.192	2.346	106.00112	0.0	0.0	0.0
106.1	5100.811	510.0811	-3.034	2.338	106.00113	0.0	0.0	0.0
22.0	5100.828	510.0828	-2.29	2.486	22.0	0.0	0.0	0.0
112.1	5100.837	510.0837	0.537	0.605	112.00126	0.0	0.0	0.0
106.1	5100.851	510.08509999999995	-2.961	2.346	106.00112	0.0	0.0	0.0
26.1	5100.852	510.0852	-1.78	5.906	26.1	0.0	0.0	0.0
106.1	5100.881	510.08810000000005	-3.034	2.346	106.00112	0.0	0.0	0.0
114.1	5100.882	510.0882	-3.581	1.224	114.00128	0.0	0.0	0.0
27.0	5100.895	510.08950000000004	-2.54	4.11	27.0	0.0	0.0	0.0
26.0	5100.906	510.0906	-1.97	4.206	26.0	0.0	0.0	0.0
64.1	5100.93	510.093	-1.05	1.597	64.1	0.0	0.0	0.0
112.1	5100.942	510.0942	0.184	0.213	112.00124	0.0	0.0	0.0
106.1	5100.964	510.0964	-5.725	2.346	106.00112	0.0	0.0	0.0
22.0	5100.964	510.0964	-1.95	2.248	22.0	0.0	0.0	0.0
15.0	5100.969	510.0969	-2.12	6.949	15.0	0.0	0.0	0.0
106.1	5101.004	510.1004	-5.73	2.152	106.00113	0.0	0.0	0.0
112.1	5101.055	510.1055	-2.111	0.213	112.00124	0.0	0.0	0.0
106.1	5101.064	510.1064	-6.515	1.579	106.00112	0.0	0.0	0.0
112.1	5101.079	510.1079	0.184	0.213	112.00125	0.0	0.0	0.0
112.1	5101.082	510.1082	0.667	0.624	112.00124	0.0	0.0	0.0
21.1	5101.097	510.1097	-2.99	1.448	21.0045	0.0	0.0	0.0
21.1	5101.098	510.1098	-2.29	1.448	21.0045	0.0	0.0	0.0
21.1	5101.098	510.1098	-2.36	1.448	21.0045	0.0	0.0	0.0
21.1	5101.1	510.11	-2.83	1.448	21.0045	0.0	0.0	0.0
21.1	5101.102	510.11019999999996	-2.09	1.448	21.0045	0.0	0.0	0.0
21.1	5101.103	510.1103	-2.09	1.448	21.0045	0.0	0.0	0.0
21.1	5101.105	510.11049999999994	-2.83	1.448	21.0045	0.0	0.0	0.0
21.1	5101.107	510.1107	-1.99	1.448	21.0045	0.0	0.0	0.0
21.1	5101.109	510.1109	-1.89	1.448	21.0045	0.0	0.0	0.0
21.1	5101.112	510.1112	-2.93	1.448	21.0045	0.0	0.0	0.0
21.1	5101.115	510.1115	-1.94	1.448	21.0045	0.0	0.0	0.0
21.1	5101.117	510.11170000000004	-1.72	1.448	21.0045	0.0	0.0	0.0
21.1	5101.121	510.1121	-3.14	1.448	21.0045	0.0	0.0	0.0
21.1	5101.124	510.1124	-1.95	1.448	21.0045	0.0	0.0	0.0
21.1	5101.127	510.1127	-1.57	1.448	21.0045	0.0	0.0	0.0
21.1	5101.132	510.11319999999995	-3.53	1.448	21.0045	0.0	0.0	0.0
21.1	5101.136	510.1136	-2.02	1.448	21.0045	0.0	0.0	0.0
21.1	5101.139	510.1139	-1.44	1.448	21.0045	0.0	0.0	0.0
106.1	5101.142	510.1142	-2.519	1.579	106.00112	0.0	0.0	0.0
114.1	5101.146	510.1146	-3.581	1.224	114.00128	0.0	0.0	0.0
21.1	5101.149	510.11490000000003	-2.23	1.448	21.0045	0.0	0.0	0.0
